,Time,X,Y,Z
237,1.125,-0.15553902,0.11246668,9.7415285
238,1.13,-0.15553902,0.12921704,9.743921
239,1.135,-0.11246668,0.16511066,9.743921
240,1.14,-0.15314612,0.11246668,9.710421
241,1.144,-0.15075321,0.1459674,9.731957
242,1.149,-0.069394335,0.1459674,9.748708
243,1.154,-0.11485959,0.12443122,9.746315
244,1.159,-0.1172525,0.12921704,9.722385
245,1.163,-0.14118157,0.13878867,9.751101
246,1.168,-0.12682413,0.12443122,9.736743
247,1.173,-0.1459674,0.107680865,9.724778
248,1.178,-0.15075321,0.1172525,9.731957
249,1.182,-0.10289505,0.1172525,9.748708
250,1.187,-0.12443122,0.14118157,9.755886
251,1.192,-0.14357449,0.13400285,9.755886
252,1.197,-0.13400285,0.12443122,9.777423
253,1.201,-0.110073775,0.14357449,9.73435
254,1.206,-0.12682413,0.12921704,9.739136
255,1.211,-0.16032484,0.12921704,9.758279
256,1.216,-0.13639577,0.1196454,9.712814
257,1.22,-0.1172525,0.1459674,9.731957
258,1.225,-0.11485959,0.16032484,9.715207
259,1.23,-0.13400285,0.12443122,9.770244
260,1.235,-0.15314612,0.14118157,9.729565
261,1.239,-0.13878867,0.14357449,9.736743
262,1.244,-0.11246668,0.14118157,9.710421
263,1.249,-0.10289505,0.13160995,9.739136
264,1.254,-0.08375178,0.14118157,9.775029
265,1.258,-0.11485959,0.11485959,9.736743
266,1.263,-0.110073775,0.14118157,9.748708
267,1.268,-0.15793194,0.11485959,9.6912775
268,1.273,-0.07896597,0.13639577,9.736743
269,1.277,-0.14118157,0.12203831,9.719993
270,1.282,-0.12921704,0.13400285,9.7415285
271,1.287,-0.13400285,0.13160995,9.731957
272,1.292,-0.13639577,0.12443122,9.758279
273,1.296,-0.13160995,0.14118157,9.736743
274,1.301,-0.15075321,0.1172525,9.786994
275,1.306,-0.10289505,0.16032484,9.760673
276,1.311,-0.13400285,0.110073775,9.7415285
277,1.315,-0.10050214,0.1196454,9.739136
278,1.32,-0.13878867,0.12682413,9.73435
279,1.325,-0.13400285,0.12921704,9.724778
280,1.33,-0.12682413,0.1483603,9.753493
281,1.334,-0.1196454,0.11246668,9.755886
282,1.339,-0.105287954,0.1459674,9.748708
283,1.344,-0.11246668,0.12682413,9.731957
284,1.349,-0.08614469,0.15314612,9.729565
285,1.353,-0.13878867,0.11246668,9.7176
286,1.358,-0.13400285,0.13639577,9.784601
287,1.363,-0.09332342,0.11485959,9.758279
288,1.368,-0.11246668,0.13160995,9.724778
289,1.372,-0.110073775,0.13400285,9.73435
290,1.377,-0.12443122,0.12682413,9.739136
291,1.382,-0.110073775,0.11485959,9.736743
292,1.387,-0.15314612,0.11246668,9.705635
293,1.391,-0.09810923,0.13639577,9.755886
294,1.396,-0.13878867,0.11485959,9.782208
295,1.401,-0.12443122,0.11485959,9.751101
296,1.406,-0.13639577,0.09810923,9.755886
297,1.41,-0.110073775,0.14357449,9.73435
298,1.415,-0.12921704,0.12203831,9.731957
299,1.42,-0.14357449,0.12443122,9.779816
300,1.425,-0.12921704,0.08375178,9.708028
301,1.429,-0.10289505,0.13878867,9.722385
302,1.434,-0.15314612,0.11246668,9.715207
303,1.439,-0.15553902,0.12682413,9.686492
304,1.444,-0.12203831,0.12682413,9.715207
305,1.448,-0.09571633,0.14118157,9.760673
306,1.453,-0.13160995,0.15314612,9.73435
307,1.458,-0.15553902,0.13400285,9.73435
308,1.463,-0.105287954,0.14118157,9.70085
309,1.467,-0.11246668,0.15314612,9.746315
310,1.472,-0.14118157,0.16032484,9.715207
311,1.477,-0.11246668,0.11485959,9.775029
312,1.482,-0.07896597,0.13400285,9.729565
313,1.486,-0.12921704,0.12203831,9.703242
314,1.491,-0.15553902,0.1196454,9.7176
315,1.496,-0.15793194,0.1172525,9.7176
316,1.501,-0.1459674,0.17228939,9.727171
317,1.505,-0.12682413,0.13400285,9.70085
318,1.51,-0.105287954,0.15314612,9.731957
319,1.515,-0.088537596,0.1196454,9.722385
320,1.52,-0.13160995,0.1196454,9.729565
321,1.524,-0.12921704,0.12203831,9.743921
322,1.529,-0.1459674,0.105287954,9.765458
323,1.534,-0.16989647,0.12203831,9.767851
324,1.539,-0.11246668,0.11485959,9.73435
325,1.543,-0.15793194,0.15314612,9.727171
326,1.548,-0.13878867,0.12921704,9.746315
327,1.553,-0.17228939,0.16511066,9.679314
328,1.558,-0.13400285,0.12443122,9.746315
329,1.562,-0.12443122,0.13878867,9.73435
330,1.567,-0.11246668,0.16989647,9.743921
331,1.572,-0.12203831,0.1483603,9.767851
332,1.577,-0.09332342,0.12682413,9.755886
333,1.581,-0.09810923,0.12443122,9.746315
334,1.586,-0.1172525,0.12443122,9.753493
335,1.591,-0.16511066,0.15553902,9.746315
336,1.596,-0.1172525,0.11246668,9.758279
337,1.6,-0.15314612,0.10050214,9.746315
338,1.605,-0.11485959,0.107680865,9.729565
339,1.61,-0.13160995,0.12443122,9.69367
340,1.615,-0.14357449,0.12682413,9.73435
341,1.619,-0.105287954,0.105287954,9.724778
342,1.624,-0.13400285,0.1483603,9.703242
343,1.629,-0.12921704,0.14357449,9.727171
344,1.634,-0.10050214,0.12921704,9.727171
345,1.638,-0.16511066,0.12443122,9.746315
346,1.643,-0.09810923,0.11485959,9.731957
347,1.648,-0.12443122,0.1196454,9.736743
348,1.653,-0.13400285,0.1459674,9.724778
349,1.657,-0.13400285,0.16750357,9.729565
350,1.662,-0.088537596,0.1483603,9.748708
351,1.667,-0.13160995,0.12203831,9.753493
352,1.672,-0.13878867,0.1196454,9.729565
353,1.676,-0.13400285,0.15075321,9.7415285
354,1.681,-0.11485959,0.12443122,9.708028
355,1.686,-0.09810923,0.14118157,9.705635
356,1.691,-0.1172525,0.1196454,9.7415285
357,1.695,-0.107680865,0.1172525,9.70085
358,1.7,-0.12921704,0.09093051,9.731957
359,1.705,-0.1459674,0.16271774,9.703242
360,1.71,-0.1172525,0.13639577,9.7917795
361,1.714,-0.12682413,0.09810923,9.679314
362,1.719,-0.11246668,0.107680865,9.729565
363,1.724,-0.10050214,0.11246668,9.753493
364,1.729,-0.14118157,0.08614469,9.746315
365,1.733,-0.16750357,0.11246668,9.746315
366,1.738,-0.16271774,0.12682413,9.731957
367,1.743,-0.12921704,0.110073775,9.739136
368,1.748,-0.16271774,0.12203831,9.748708
369,1.752,-0.110073775,0.12682413,9.748708
370,1.757,-0.09571633,0.11246668,9.767851
371,1.762,-0.15075321,0.15075321,9.712814
372,1.767,-0.15793194,0.10050214,9.7415285
373,1.771,-0.11246668,0.12682413,9.770244
374,1.776,-0.08375178,0.13160995,9.729565
375,1.781,-0.06460852,0.1172525,9.746315
376,1.786,-0.10289505,0.14118157,9.765458
377,1.79,-0.1172525,0.12682413,9.736743
378,1.795,-0.13400285,0.1196454,9.705635
379,1.8,-0.105287954,0.15314612,9.696064
380,1.805,-0.14357449,0.12921704,9.775029
381,1.809,-0.12682413,0.09571633,9.715207
382,1.814,-0.12203831,0.12443122,9.755886
383,1.819,-0.13878867,0.16271774,9.731957
384,1.824,-0.1172525,0.13160995,9.765458
385,1.828,-0.16032484,0.1483603,9.705635
386,1.833,-0.1196454,0.13400285,9.696064
387,1.838,-0.1459674,0.17228939,9.727171
388,1.843,-0.13160995,0.17468229,9.739136
389,1.847,-0.12682413,0.12203831,9.708028
390,1.852,-0.1196454,0.105287954,9.705635
391,1.857,-0.110073775,0.14357449,9.724778
392,1.862,-0.13639577,0.11246668,9.7415285
393,1.866,-0.110073775,0.12921704,9.698457
394,1.871,-0.08375178,0.15793194,9.753493
395,1.876,-0.13400285,0.13878867,9.710421
396,1.881,-0.13639577,0.15075321,9.715207
397,1.885,-0.11485959,0.12203831,9.763065
398,1.89,-0.12203831,0.12921704,9.751101
399,1.895,-0.1172525,0.14118157,9.746315
400,1.9,-0.18186101,0.105287954,9.703242
401,1.904,-0.13160995,0.12921704,9.727171
402,1.909,-0.09810923,0.14118157,9.746315
403,1.914,-0.15553902,0.12443122,9.7176
404,1.919,-0.10050214,0.14118157,9.722385
405,1.923,-0.11246668,0.1196454,9.739136
406,1.928,-0.16271774,0.15314612,9.753493
407,1.933,-0.12921704,0.11246668,9.746315
408,1.938,-0.1196454,0.14118157,9.7176
409,1.942,-0.12921704,0.107680865,9.784601
410,1.947,-0.12682413,0.13160995,9.765458
411,1.952,-0.13400285,0.1196454,9.7176
412,1.957,-0.1172525,0.12682413,9.696064
413,1.961,-0.1483603,0.15793194,9.731957
414,1.966,-0.1172525,0.10050214,9.767851
415,1.971,-0.15793194,0.09571633,9.708028
416,1.976,-0.12443122,0.15075321,9.748708
417,1.98,-0.107680865,0.12443122,9.722385
418,1.985,-0.15314612,0.16989647,9.748708
419,1.99,-0.1459674,0.13878867,9.724778
420,1.995,-0.107680865,0.10050214,9.73435
421,1.999,-0.105287954,0.12682413,9.765458
422,2.004,-0.13400285,0.12443122,9.729565
423,2.009,-0.12682413,0.15553902,9.731957
424,2.014,-0.13639577,0.1196454,9.686492
425,2.018,-0.14118157,0.12203831,9.729565
426,2.023,-0.15314612,0.14118157,9.7415285
427,2.028,-0.1196454,0.13878867,9.7176
428,2.033,-0.09332342,0.1172525,9.760673
429,2.037,-0.09571633,0.16750357,9.743921
430,2.042,-0.16032484,0.13639577,9.705635
431,2.047,-0.11485959,0.15793194,9.789387
432,2.052,-0.1483603,0.15553902,9.719993
433,2.056,-0.13878867,0.15553902,9.743921
434,2.061,-0.11485959,0.12203831,9.710421
435,2.066,-0.13639577,0.1196454,9.748708
436,2.071,-0.18186101,0.14118157,9.698457
437,2.075,-0.12682413,0.13639577,9.722385
438,2.08,-0.14357449,0.13639577,9.746315
439,2.085,-0.10289505,0.14357449,9.698457
440,2.09,-0.13400285,0.12682413,9.715207
441,2.094,-0.15314612,0.110073775,9.765458
442,2.099,-0.14118157,0.12443122,9.736743
443,2.104,-0.107680865,0.16032484,9.696064
444,2.109,-0.12443122,0.08614469,9.684099
445,2.113,-0.088537596,0.12443122,9.703242
446,2.118,-0.09810923,0.1459674,9.758279
447,2.123,-0.17946811,0.13160995,9.7415285
448,2.128,-0.12443122,0.1196454,9.743921
449,2.132,-0.16032484,0.13160995,9.758279
450,2.137,-0.12682413,0.110073775,9.727171
451,2.142,-0.12203831,0.08614469,9.731957
452,2.147,-0.13400285,0.14357449,9.760673
453,2.151,-0.13878867,0.1172525,9.739136
454,2.156,-0.13639577,0.13639577,9.719993
455,2.161,-0.14118157,0.10050214,9.710421
456,2.166,-0.105287954,0.10050214,9.786994
457,2.17,-0.16511066,0.12443122,9.698457
458,2.175,-0.15314612,0.15075321,9.743921
459,2.18,-0.11485959,0.13160995,9.758279
460,2.185,-0.1196454,0.15553902,9.753493
461,2.189,-0.12921704,0.17228939,9.743921
462,2.194,-0.16511066,0.12682413,9.724778
463,2.199,-0.1196454,0.16989647,9.708028
464,2.204,-0.11485959,0.13400285,9.729565
465,2.208,-0.15793194,0.15314612,9.743921
466,2.213,-0.15075321,0.110073775,9.73435
467,2.218,-0.12682413,0.16511066,9.722385
468,2.223,-0.1172525,0.12443122,9.686492
469,2.227,-0.12921704,0.15793194,9.719993
470,2.232,-0.16032484,0.09571633,9.7415285
471,2.237,-0.110073775,0.15553902,9.73435
472,2.242,-0.12443122,0.09332342,9.736743
473,2.246,-0.14118157,0.12921704,9.686492
474,2.251,-0.1172525,0.13400285,9.724778
475,2.256,-0.11485959,0.1483603,9.739136
476,2.261,-0.15793194,0.15793194,9.712814
477,2.265,-0.06460852,0.10050214,9.739136
478,2.27,-0.107680865,0.110073775,9.719993
479,2.275,-0.11485959,0.14357449,9.67692
480,2.28,-0.12203831,0.17228939,9.767851
481,2.284,-0.1172525,0.1483603,9.739136
482,2.289,-0.15075321,0.15314612,9.748708
483,2.294,-0.11246668,0.16032484,9.770244
484,2.299,-0.1196454,0.11246668,9.765458
485,2.303,-0.14118157,0.16271774,9.765458
486,2.308,-0.12443122,0.105287954,9.758279
487,2.313,-0.13878867,0.1459674,9.739136
488,2.318,-0.13160995,0.13639577,9.724778
489,2.322,-0.088537596,0.12921704,9.743921
490,2.327,-0.11246668,0.12443122,9.727171
491,2.332,-0.12203831,0.1172525,9.719993
492,2.337,-0.12443122,0.1196454,9.758279
493,2.341,-0.09810923,0.1459674,9.73435
494,2.346,-0.1196454,0.12682413,9.698457
495,2.351,-0.14118157,0.13160995,9.753493
496,2.356,-0.13400285,0.14357449,9.753493
497,2.36,-0.12443122,0.1459674,9.731957
498,2.365,-0.13878867,0.1172525,9.722385
499,2.37,-0.1483603,0.13160995,9.784601
500,2.375,-0.12682413,0.107680865,9.710421
501,2.379,-0.110073775,0.110073775,9.7176
502,2.384,-0.105287954,0.12921704,9.715207
503,2.389,-0.12682413,0.1172525,9.722385
504,2.394,-0.16271774,0.1172525,9.7415285
505,2.398,-0.11246668,0.16511066,9.7176
506,2.403,-0.12443122,0.14357449,9.724778
507,2.408,-0.12203831,0.107680865,9.729565
508,2.413,-0.110073775,0.12921704,9.73435
509,2.417,-0.15314612,0.13160995,9.715207
510,2.422,-0.1459674,0.11246668,9.751101
511,2.427,-0.13878867,0.1172525,9.751101
512,2.432,-0.12921704,0.10050214,9.743921
513,2.436,-0.13639577,0.13160995,9.746315
514,2.441,-0.107680865,0.10289505,9.736743
515,2.446,-0.12921704,0.07896597,9.748708
516,2.451,-0.11485959,0.12443122,9.746315
517,2.455,-0.15793194,0.10050214,9.710421
518,2.46,-0.1172525,0.12682413,9.722385
519,2.465,-0.13160995,0.12921704,9.748708
520,2.47,-0.17707519,0.13400285,9.727171
521,2.474,-0.10050214,0.1196454,9.715207
522,2.479,-0.11485959,0.16750357,9.763065
523,2.484,-0.13160995,0.19143265,9.782208
524,2.489,-0.15314612,0.16511066,9.722385
525,2.493,-0.13639577,0.13400285,9.763065
526,2.498,-0.15553902,0.110073775,9.758279
527,2.503,-0.1483603,0.09571633,9.7415285
528,2.508,-0.12203831,0.15075321,9.751101
529,2.512,-0.16750357,0.12203831,9.7415285
530,2.517,-0.12921704,0.15553902,9.719993
531,2.522,-0.071787246,0.13639577,9.736743
532,2.527,-0.11485959,0.12203831,9.751101
533,2.531,-0.13400285,0.13639577,9.73435
534,2.536,-0.12443122,0.16032484,9.772636
535,2.541,-0.13639577,0.16032484,9.710421
536,2.546,-0.14357449,0.11246668,9.736743
537,2.55,-0.13878867,0.15314612,9.739136
538,2.555,-0.12203831,0.14357449,9.767851
539,2.56,-0.1196454,0.12203831,9.727171
540,2.565,-0.14357449,0.107680865,9.708028
541,2.569,-0.16271774,0.16271774,9.712814
542,2.574,-0.15553902,0.12203831,9.724778
543,2.579,1.4979604,-1.3424214,1.5841051
544,2.584,6.010985,-3.048565,8.004277
545,2.588,-5.1423593,2.7973096,15.467758
546,2.593,-1.9908996,1.7922882,13.876474
547,2.598,2.3498356,-1.899969,7.1763315
548,2.603,0.0598227,0.53840435,8.959048
549,2.607,-0.77290934,0.6676214,10.327791
550,2.612,0.9140909,-0.46422416,8.468502
551,2.617,0.4402951,0.27279153,8.925548
552,2.622,-0.63651353,0.39243692,10.504867
553,2.626,-0.42833054,0.7346228,10.406757
554,2.631,0.54079723,-0.28475606,8.676684
555,2.636,0.33979294,-0.20100428,9.363449
556,2.641,-0.2919348,0.12443122,10.579046
557,2.645,-0.22254045,0.0,9.140909
558,2.65,-0.004785816,-0.12682413,9.2485895
559,2.655,-0.5551547,0.1196454,10.337363
560,2.66,-0.234505,-0.17228939,9.94014
561,2.664,-0.12443122,-0.13639577,9.32277
562,2.669,-0.33979294,0.009571632,9.810924
563,2.674,-0.11246668,-0.045465253,9.636241
564,2.679,-0.17468229,-0.026321989,10.07175
565,2.683,-0.31825677,0.12682413,9.583597
566,2.688,0.37090075,0.27997026,9.794173
567,2.693,0.28475606,0.42593765,10.110037
568,2.698,-0.107680865,0.7322299,9.703242
569,2.702,-0.35415038,0.66283554,9.629062
570,2.707,-0.3852582,0.24886245,9.770244
571,2.712,-0.13878867,-0.08135887,9.98082
572,2.717,-0.047858164,0.15793194,9.629062
573,2.721,-0.42593765,-0.40440148,7.887025
574,2.726,2.6202343,-1.0193789,8.980584
575,2.731,-0.442688,-0.81358874,6.2813835
576,2.736,-0.84708947,0.2632199,9.868353
577,2.74,0.16032484,0.6125845,10.126787
578,2.745,-0.2632199,0.69155043,11.038485
579,2.75,-0.10050214,0.1172525,9.746315
