Time,Qom,ComX,ComY,AomX1,AomY1,AomX2,AomY2
359520,702547,0.5114952669833238,0.4885872190757343,0.6146666666666667,0.345,0.668,0.605
359560,1020039,0.536107127276506,0.498812733303988,0.818,0.39166666666666666,0.888,0.4716666666666667
359600,479709,0.45939471638013873,0.4843219500433249,0.5426666666666666,0.3983333333333333,0.56,0.4683333333333333
359640,794926,0.510905264137794,0.492838813508008,0.678,0.47833333333333333,0.7053333333333334,0.5416666666666666
359680,466839,0.48455504931393195,0.46958575654561835,0.844,0.39,0.8866666666666667,0.5866666666666667
359720,782395,0.5239762907482794,0.4844527870619488,0.8313333333333334,0.38666666666666666,0.89,0.5966666666666667
359760,447297,0.46620608380263373,0.47239598074657313,0.8506666666666667,0.49666666666666665,0.884,0.5816666666666667
359800,724609,0.5106323980703155,0.49127605600629676,0.8466666666666667,0.49166666666666664,0.888,0.59
359840,479181,0.5120760812024404,0.48457886129319255,0.674,0.3883333333333333,0.7,0.5066666666666667
359880,769926,0.5250507217576753,0.496299633557857,0.7893333333333333,0.38166666666666665,0.8673333333333333,0.5133333333333333
359920,459020,0.48342729728552125,0.47616321365808306,0.678,0.4666666666666667,0.6953333333333334,0.54
359960,442166,0.49249563436959565,0.4773213340691052,0.646,0.37833333333333335,0.724,0.6616666666666666
360000,1806594,0.5249012207502074,0.4935756890221782,0.7833333333333333,0.3433333333333333,0.8953333333333333,0.6583333333333333
360040,923879,0.5110294190761634,0.49533441067499107,0.6686666666666666,0.465,0.6986666666666667,0.5583333333333333
360080,983671,0.5299493251978218,0.49704552809492875,0.648,0.395,0.6733333333333333,0.635
360120,539961,0.49909531367388876,0.4775294203346785,0.668,0.38666666666666666,0.6986666666666667,0.5083333333333333
360160,684201,0.4931111861377968,0.4812255389863505,0.6713333333333333,0.4083333333333333,0.698,0.5483333333333333
360200,600883,0.4955678237970896,0.4797293538564635,0.8526666666666667,0.45,0.8753333333333333,0.49
360240,773262,0.5187736377407226,0.49543277267816954,0.7566666666666667,0.5966666666666667,0.7793333333333333,0.7916666666666666
360280,477930,0.49448352129670314,0.4785566191701715,0.678,0.465,0.7033333333333334,0.565
360320,696043,0.48971764962796827,0.4780897181160742,0.7966666666666666,0.5583333333333333,0.8133333333333334,0.615
360360,546548,0.48406627048310474,0.4750815969808081,0.608,0.425,0.628,0.4816666666666667
360400,771072,0.5123351144034973,0.4926719770224656,0.656,0.4033333333333333,0.7006666666666667,0.5933333333333334
360440,441086,0.47626766964567757,0.4837234424428191,0.6866666666666666,0.435,0.704,0.45666666666666667
360480,663210,0.48651173534777825,0.4874568864562759,0.6466666666666666,0.31833333333333336,0.69,0.38
360520,550100,0.48607813609646733,0.47862501969338905,0.6593333333333333,0.5183333333333333,0.674,0.58
360560,660328,0.4961600548010484,0.48128337230386525,0.66,0.5416666666666666,0.6753333333333333,0.6083333333333333
360600,1009079,0.5305936852648142,0.49461745149124436,0.6473333333333333,0.365,0.6726666666666666,0.615
360640,476200,0.45098111717765643,0.4732020859582809,0.11,0.31833333333333336,0.12933333333333333,0.37666666666666665
360680,794814,0.509565894242762,0.4904998758619417,0.488,0.31333333333333335,0.5013333333333333,0.40166666666666667
360720,460767,0.48997488680106555,0.4988455625800748,0.5733333333333334,0.5666666666666667,0.5893333333333334,0.6383333333333333
360760,777370,0.5150217219599417,0.49133908777887836,0.64,0.37166666666666665,0.6606666666666666,0.44166666666666665
360800,468807,0.4845334974378227,0.4809008931180635,0.6773333333333333,0.4866666666666667,0.706,0.565
360840,722838,0.5030492669173452,0.4820932122181364,0.664,0.4,0.7,0.5633333333333334
360880,486637,0.4981216937196856,0.48196235934930276,0.672,0.40166666666666667,0.716,0.5416666666666666
360920,796229,0.5279173252920957,0.4884312511434106,0.662,0.40166666666666667,0.704,0.5933333333333334
360960,494323,0.5058117600570208,0.4777625864060544,0.662,0.4033333333333333,0.706,0.6066666666666667
361000,698979,0.49843869319869866,0.48716557531294447,0.68,0.465,0.706,0.5633333333333334
361040,553619,0.5066007404610993,0.4911643175782142,0.6626666666666666,0.40166666666666667,0.704,0.58
361080,696866,0.5232613022685374,0.48076402541282465,0.66,0.40166666666666667,0.7246666666666667,0.6183333333333333
361120,1066391,0.5316838570468057,0.49503358836799377,0.6513333333333333,0.40166666666666667,0.704,0.62
361160,634090,0.5002472624811409,0.47855877188832285,0.6813333333333333,0.4866666666666667,0.6973333333333334,0.59
